poiID;title;text;
1;DONT GO. when will we all learn? Do we have to watch animals locked up the saddest thing I’ve ever seen, even if they were treated humanely which they’re not.;Welcome to animal cruelty 101
1;I didn’t really want To visit in the first place but I was with a. Group of friends. Some parts of the aquarium were fine, but once I started seeing giant sea mammals such as dolphins swimming round in tiny areas.Yeah….:nah….:;sorry this is modern day animal cruelty. I suspect these kinds of places will be gone in 50 years time. I wish they were gone now. One of the best aquariums in the world
